N	M	R_coefficient	Q_coefficient
29	15	1.1710348163938025e-12	-5.066260393303563e-13
29	16	9.364611547606883e-13	-1.1314757992787972e-12
29	17	1.2681243646991798e-12	1.9963091409458208e-13
29	18	-9.79981557910477e-13	3.115145723774035e-13
29	19	4.074004148902192e-13	-7.793517612207881e-13
29	20	-9.735156793394604e-13	5.914933233625325e-13
29	21	6.247616087459109e-14	-2.2399229666290143e-13
29	22	-2.4763957985324753e-13	1.011665116362727e-12
29	23	-4.904653015123034e-13	-4.184049030954868e-13
29	24	-2.9382775272414056e-13	-3.1531869369498256e-13
29	25	-1.8069142478220237e-13	-1.110795738043631e-13
29	26	-6.425447348009473e-14	-2.9083955285792365e-13
29	27	1.3550542324307159e-12	6.540500066988666e-13
29	28	8.315762819304065e-13	1.406027630681824e-12
29	29	-6.638888226407303e-14	3.6648795805538557e-13
30	0	-2.4263359534010387e-13	0.0
30	1	-3.0791432244356643e-13	-3.030887920851444e-13
30	2	-2.5896971739253247e-14	-2.543265490932137e-13
30	3	-2.7831293311777123e-13	-6.221530484852916e-13
30	4	1.2169455604904634e-13	7.454578066219106e-13
30	5	7.756430057565991e-13	-2.5882475767933263e-13
30	6	-2.9873364202289193e-13	-3.7131698316457986e-13
30	7	5.160947608737724e-13	-1.5141901990910947e-12
30	8	-1.269208375785026e-13	5.155357890039078e-13
30	9	3.175922825440536e-13	1.6618918545696282e-13
30	10	-2.663297067924951e-13	5.894186265359479e-13
30	11	1.3551921530403315e-12	3.768213349728759e-13
30	12	2.2428120007158484e-13	3.1676477496925844e-13
30	13	6.955281976959517e-13	-6.82275910354377e-13
30	14	-1.5076704354660144e-12	-7.936719618326877e-13
30	15	2.1442861368288691e-13	-9.664932875273017e-13
30	16	-5.535219945460002e-13	-1.0368535890485894e-12
30	17	1.0093401841127042e-12	1.2154666225478587e-13
30	18	-4.88056987715617e-13	9.020040613150111e-13
30	19	2.0970438235448505e-13	-9.678248169087202e-13
30	20	-7.071553383484429e-13	1.0768469748028132e-12
30	21	2.7021009490663434e-13	-5.892256663707838e-13
30	22	1.392396872632771e-12	1.286089071790801e-13
30	23	-4.468928967906331e-13	2.925040556104643e-14
30	24	8.893967473407467e-14	1.2340581814605976e-13
30	25	-2.493981410544422e-13	-6.056263893707631e-13
30	26	4.0178095368202493e-13	-6.047945275024196e-13
30	27	-4.117576339037308e-13	8.571680766069635e-13
30	28	3.0451399882663584e-13	4.104448055822468e-13
30	29	1.3920577080785216e-12	5.287507969909739e-13
30	30	-3.906547953971473e-13	5.413702202656069e-13
31	0	-4.5469894122247756e-13	0.0
31	1	-4.2665113078246827e-13	-1.0582969694662532e-13
31	2	2.637194756934922e-13	1.889897515485704e-13
31	3	2.373085202500396e-13	-1.0376169890313089e-12
31	4	-2.392923231439615e-13	-1.0176316067145115e-12
31	5	3.591034256195732e-13	-1.73888634897478e-13
31	6	2.2278769340222345e-13	2.301758674752305e-13
31	7	2.375479959234585e-13	-9.373032709871573e-13
31	8	6.559454408776902e-13	2.300057427143265e-13
31	9	-2.1544104203163326e-13	4.824340113299305e-13
31	10	-4.12410566823163e-13	1.3489471084368545e-12
